Question,UserID,Reason,VerbalCode1,Code1,CodeFamily1,VerbalCode2,Code2,CodeFamily2,Assess,Status,Correct,STimeViewed,SFix,SRevisits,KTimeViewed,KFix,KRevisits,PTimeViewed,PFix,PRevisits,Gender,Birth_Year,Ethnicity,ParentEduc,STVSQRT,KTVSQRT,PTVSQRT,KFixSQRT,SFixSQRT,PFixSQRT,SRevisitsSQRT,KRevisitsSQRT,PRevisitsSQRT,MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,SMDS1,SMDS2,SMDS3,Attention_Check,SMDS4,SMDS5,SMDS6,SMDS7,SMDS8,SMDS9,SMDS10,SMDS11,SMDS12,Risk1,Risk2,Risk3,Risk4,Risk5,Risk6,Risk7
1,5,"""Insincere. Dishonest. Too much information. It needs to be more short, I suppose.""",false post unclear,39,7, , , ,1,1,1,0.905,4,1,8.723,29,12,1.644,9,7,2,8,1,2,0.95,2.95,1.28,5.39,2,3,1,3.46,2.65,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
2,5,"""Honest. Seems legitimate, as opposed to others. Valid sources, I guess.""",reliable/credible source,5,2, , , ,2,2,1,1.907,13,11,3.73,19,17,2.12,10,4,2,8,1,2,1.38,1.93,1.46,4.36,3.61,3.16,3.32,4.12,2,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
3,5,Dishonest. It doesn't seem legitimate. More so just celebrity gossip.,false post has no credentials,63,10, , , ,1,1,1,13.241,41,10,2.581,11,7,5.997,22,12,2,8,1,2,3.64,1.61,2.45,3.32,6.4,4.69,3.16,2.65,3.46,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
4,5,"""Honest, hand-written, so first account.""",handwriting,32,6, , , ,2,1,2,4.878,17,6,1.035,6,7,4.814,19,8,2,8,1,2,2.21,1.02,2.19,2.45,4.12,4.36,2.45,2.65,2.83,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
5,5,"""Dishonest. Not true, in my opinion.""",obvious falsehood,56,10, , , ,1,1,1,1.708,9,9,7.707,35,16,0.23,3,1,2,8,1,2,1.31,2.78,0.48,5.92,3,1.73,3,4,1,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
6,5,Honest. Valid source. Gets right to the point.,reliable/credible source,5,2,does not include extra words,42,8,2,2,1,2.612,11,9,0.409,3,3,4.847,19,10,2,8,1,2,1.62,0.64,2.2,1.73,3.32,4.36,3,1.73,3.16,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
7,5,Dishonest. Not enough information and no linked credible source.,false post unclear,39,7,(no) links,16,4,1,1,1,2.235,13,9,1.364,6,4,1.479,7,6,2,8,1,2,1.49,1.17,1.22,2.45,3.61,2.65,3,2,2.45,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
8,5,"""Honest. Weird approach to it, but gets the point across.""",appeal,27,6, , , ,2,2,1,4.073,13.577,11,3.875,12.917,19,9.084,30.28,31,2,8,1,2,2.02,1.97,3.01,3.59,3.68,5.5,3.32,4.36,5.57,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
9,5,"""Dishonest. No not much to get from it, I suppose.""",false post unclear,39,7, , , ,1,1,1,2.201,7,3,2.857,13,10,3.828,17,13,2,8,1,2,1.48,1.69,1.96,3.61,2.65,4.12,1.73,3.16,3.61,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
10,5,Honest. A lot of information. Wish it had a linked source to things that work well in it.,more text,43,8, , , ,2,1,2,0.395,8.737,27,3.319,8.954,30,2.466,2.302,9,2,8,1,2,0.63,1.82,1.57,2.99,2.96,1.52,5.2,5.48,3,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
11,5,Dishonest. There's a lot of fake ads like this.,false post is biased ad,33,7, , , ,1,1,1,1.809,8,8,3.122,12,4,0.935,6,3,2,8,1,2,1.34,1.77,0.97,3.46,2.83,2.45,2.83,2,1.73,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
12,5,Dishonest. It's just an article to get attention and views. It's just gossip with Covid in the title. It gets everyone's attention.,false post looks fake,37,7, , , ,1,1,1,2.843,10,8,15.705,48,18,3.534,10,4,2,8,1,2,1.69,3.96,1.88,6.93,3.16,3.16,2.83,4.24,2,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
13,5,Dishonest. Seems more like an advertisement than health advice.,false post is biased ad,33,7, , , ,1,2,2,0.509,2,0,2.021,10,6,5.845,16,4,2,8,1,2,0.71,1.42,2.42,3.16,1.41,4,0,2.45,2,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
14,5,Dishonest. Not enough information. It's more opinionated than fact.,false post based on opinion,58,10, , , ,1,2,2,5.242,20,10,8.065,30,11,0.822,2,1,2,8,1,2,2.29,2.84,0.91,5.48,4.47,1.41,3.16,3.32,1,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
15,5,"""Dishonest. I want to say honest, but it's just another opinion. It's good to stay home, but there are other factors involved.""",false post based on opinion,58,10, , , ,1,1,1,5.785,24,21,6.552,28,17,0,0,0,2,8,1,2,2.41,2.56,0,5.29,4.9,0,4.58,4.12,0,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
16,5,Honest. Always consult your doctor first. Always look for credible sources.,reliable/credible source,5,2, , , ,2,2,1,2.248,15,12,2.301,15,13,12.818,38,3,2,8,1,2,1.5,1.52,3.58,3.87,3.87,6.16,3.46,3.61,1.73,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
17,5,"""Honest. It seems like a first account opinionated, but makes you interested to find out more.""",more appealing,30,6, , , ,2,1,2,0.839,9,10,2.708,15,9,9.511,30,5,2,8,1,2,0.92,1.65,3.08,3.87,3,5.48,3.16,3,2.24,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
18,5,Dishonest. There are so many advertisements on weight loss. I disregard them.,false post is biased ad,33,7, , , ,1,2,2,3.809,16,7,5.968,19,10,9.068,28,9,2,8,1,2,1.95,2.44,3.01,4.36,4,5.29,2.65,3.16,3,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
19,5,"""Dishonest. There is information, but I think I need more, especially with a doctor's opinion. It's just a product in my eyes, I guess.""",false post is biased ad,33,7, , , ,1,1,1,3.795,16,8,6.34,27,13,4.272,12,4,2,8,1,2,1.95,2.52,2.07,5.2,4,3.46,2.83,3.61,2,5,4,1,2,3,2,2,2,3,1,1,2,3,2,3,4,4,5,5,2,3,3,4,4,9,7,8,2,8,3,1
