Question,Name,Nature
1,Covid Vaccine Luciferace,FALSE
2,FDA Hydroxychloroquine,TRUE
3,Intermittent Fasting,FALSE
4,Bogus Cold Remedy,FALSE
5,COVID Drug Cocktails,FALSE
6,FDA Chlorine Dioxide warning,FALSE
7,Ivermectin as COVID cure,FALSE
8,FDA ivermectin warning,TRUE
9,Dr Rivera's Chlorine Dioxide cure,FALSE
10,Berry Gen treatment for diabetes,FALSE
11,Nitro Muscle Builder,FALSE
12,Covid Vaccine opinions by Ben Carson,FALSE
13,Nyquil Cold Remedy,TRUE
14,Busch Pro-MMR Vaccine,TRUE
15,Antibiotics to Treat COVID,FALSE
16,No Antibiotics for Viruses,TRUE
17,RFK Anti-MMR,FALSE
18,FDA Semaglutide (Weight Loss),TRUE
19,Lysulin treatment for diabetes,FALSE
20,Harvard Public Health on Supplements,TRUE
